sec	CH1	CH2	CH40	CH41	
0	-0.0805664	1.81152	0	0	
0.0005	-0.0805664	1.81152	0	0	
0.001	-0.078125	1.80664	0	0	
0.0015	-0.078125	1.80664	0	0	
0.002	-0.078125	1.80664	0	0	
0.0025	-0.078125	1.80664	0	0	
0.003	-0.078125	1.80176	0	0	
0.0035	-0.0756836	1.80176	0	0	
0.004	-0.0756836	1.80176	0	0	
0.0045	-0.0756836	1.80176	0	0	
0.005	-0.0756836	1.79688	0	0	
0.0055	-0.0732422	1.79688	0	0	
0.006	-0.0732422	1.79688	0	0	
0.0065	-0.0732422	1.79688	0	0	
0.007	-0.0732422	1.79199	0	0	
0.0075	-0.0732422	1.79199	0	0	
0.008	-0.0732422	1.79199	0	0	
0.0085	-0.0732422	1.79199	0	0	
0.009	-0.0732422	1.78711	0	0	
0.0095	-0.0732422	1.78711	0	0	
0.01	-0.0708008	1.78711	0	0	
0.0105	-0.0708008	1.78711	0	0	
0.011	-0.0708008	1.78223	0	0	
0.0115	-0.0708008	1.78223	0	0	
0.012	-0.0683594	1.78223	0	0	
0.0125	-0.0683594	1.78223	0	0	
0.013	-0.0683594	1.77734	0	0	
0.0135	-0.0683594	1.77734	0	0	
0.014	-0.0683594	1.77734	0	0	
0.0145	-0.0683594	1.77246	0	0	
0.015	-0.065918	1.77246	0	0	
0.0155	-0.065918	1.77246	0	0	
0.016	-0.065918	1.77246	0	0	
0.0165	-0.065918	1.76758	0	0	
0.017	-0.065918	1.76758	0	0	
0.0175	-0.065918	1.76758	0	0	
0.018	-0.065918	1.76758	0	0	
0.0185	-0.065918	1.7627	0	0	
0.019	-0.065918	1.7627	0	0	
0.0195	-0.0634766	1.7627	0	0	
0.02	-0.0634766	1.7627	0	0	
0.0205	-0.0634766	1.75781	0	0	
0.021	-0.0634766	1.75781	0	0	
0.0215	-0.0634766	1.75781	0	0	
0.022	-0.0634766	1.75293	0	0	
0.0225	-0.0634766	1.75293	0	0	
0.023	-0.0610352	1.75293	0	0	
0.0235	-0.0610352	1.75293	0	0	
0.024	-0.0585938	1.74805	0	0	
0.0245	-0.0585938	1.74805	0	0	
0.025	-0.0561523	1.74805	0	0	
0.0255	-0.0561523	1.74805	0	0	
0.026	-0.0537109	1.74316	0	0	
0.0265	-0.0537109	1.74316	0	0	
0.027	-0.0512695	1.74316	0	0	
0.0275	-0.0512695	1.73828	0	0	
0.028	-0.0512695	1.73828	0	0	
0.0285	-0.0488281	1.73828	0	0	
0.029	-0.0488281	1.73828	0	0	
0.0295	-0.0488281	1.7334	0	0	
0.03	-0.0488281	1.7334	0	0	
0.0305	-0.0463867	1.7334	0	0	
0.031	-0.0463867	1.7334	0	0	
0.0315	-0.0463867	1.72852	0	0	
0.032	-0.0463867	1.72852	0	0	
0.0325	-0.0463867	1.72852	0	0	
0.033	-0.0463867	1.72363	0	0	
